"","X","location","region","Laws","value","Law"
"25",25,"Bahamas","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"26",26,"Bahamas","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"27",27,"Bahamas","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"28",28,"Bahrain","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"29",29,"Bahrain","Asia","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"30",30,"Bahrain","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"31",31,"Bangladesh","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"32",32,"Bangladesh","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"33",33,"Bangladesh","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"34",34,"Barbados","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"35",35,"Barbados","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"36",36,"Barbados","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"37",37,"Belarus","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"38",38,"Belarus","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"39",39,"Belarus","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"40",40,"Belize","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"41",41,"Belize","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"42",42,"Belize","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"43",43,"Benin","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"44",44,"Benin","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"45",45,"Benin","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"46",46,"Bolivia","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"47",47,"Bolivia","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"48",48,"Bolivia","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"49",49,"Botswana","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"50",50,"Botswana","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"51",51,"Botswana","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"52",52,"Brazil","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"53",53,"Brazil","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"54",54,"Brazil","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"55",55,"Brunei Darussalam","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"56",56,"Brunei Darussalam","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"57",57,"Brunei Darussalam","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"58",58,"Burkina Faso","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"59",59,"Burkina Faso","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"60",60,"Burkina Faso","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"61",61,"Burundi","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"62",62,"Burundi","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"63",63,"Burundi","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"64",64,"Cabo Verde","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"65",65,"Cabo Verde","Africa","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"66",66,"Cabo Verde","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"67",67,"Cambodia","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"68",68,"Cambodia","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"69",69,"Cambodia","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"70",70,"Cameroon","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"71",71,"Cameroon","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"72",72,"Cameroon","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"73",73,"Canada","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"74",74,"Canada","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"75",75,"Canada","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"76",76,"Central African Rep.","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"77",77,"Central African Rep.","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"78",78,"Central African Rep.","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"79",79,"Chad","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"80",80,"Chad","Africa","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"81",81,"Chad","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"82",82,"Chile","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"83",83,"Chile","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"84",84,"Chile","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"85",85,"China","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"86",86,"China","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"87",87,"China","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"88",88,"Colombia","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"89",89,"Colombia","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"90",90,"Colombia","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"91",91,"Comoros","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"92",92,"Comoros","Africa","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"93",93,"Comoros","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"94",94,"Congo","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"95",95,"Congo","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"96",96,"Congo","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"97",97,"Costa Rica","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"98",98,"Costa Rica","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"99",99,"Costa Rica","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"100",100,"Côte d'Ivoire","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"101",101,"Côte d'Ivoire","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"102",102,"Côte d'Ivoire","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"103",103,"Cuba","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"104",104,"Cuba","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"105",105,"Cuba","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"106",106,"Czech Republic","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"107",107,"Czech Republic","Europe","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"108",108,"Czech Republic","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"109",109,"Dem. Rep. Congo.","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"110",110,"Dem. Rep. Congo.","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"111",111,"Dem. Rep. Congo.","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"112",112,"Djibouti","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"113",113,"Djibouti","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"114",114,"Djibouti","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"115",115,"Dominica","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"116",116,"Dominica","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"117",117,"Dominica","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"118",118,"Dominican Republic","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"119",119,"Dominican Republic","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"120",120,"Dominican Republic","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"121",121,"Ecuador","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"122",122,"Ecuador","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"123",123,"Ecuador","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"124",124,"Egypt","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"125",125,"Egypt","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"126",126,"Egypt","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"127",127,"El Salvador","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"128",128,"El Salvador","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"129",129,"El Salvador","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"130",130,"Equatorial Guinea","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"131",131,"Equatorial Guinea","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"132",132,"Equatorial Guinea","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"133",133,"Eswatini","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"134",134,"Eswatini","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"135",135,"Eswatini","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"136",136,"Ethiopia","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"137",137,"Ethiopia","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"138",138,"Ethiopia","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"139",139,"Fiji","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"140",140,"Fiji","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"141",141,"Fiji","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"142",142,"Gabon","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"143",143,"Gabon","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"144",144,"Gabon","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"145",145,"Gambia","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"146",146,"Gambia","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"147",147,"Gambia","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"148",148,"Georgia","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"149",149,"Georgia","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"150",150,"Georgia","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"151",151,"Ghana","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"152",152,"Ghana","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"153",153,"Ghana","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"154",154,"Guatemala","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"155",155,"Guatemala","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"156",156,"Guatemala","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"157",157,"Guinea","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"158",158,"Guinea","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"159",159,"Guinea","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"160",160,"Guinea-Bissau","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"161",161,"Guinea-Bissau","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"162",162,"Guinea-Bissau","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"163",163,"Guyana","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"164",164,"Guyana","Americas","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"165",165,"Guyana","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"166",166,"Haiti","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"167",167,"Haiti","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"168",168,"Haiti","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"169",169,"Honduras","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"170",170,"Honduras","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"171",171,"Honduras","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"172",172,"India","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"173",173,"India","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"174",174,"India","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"175",175,"Indonesia","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"176",176,"Indonesia","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"177",177,"Indonesia","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"178",178,"Iran","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"179",179,"Iran","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"180",180,"Iran","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"181",181,"Israel","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"182",182,"Israel","Asia","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"183",183,"Israel","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"184",184,"Jamaica","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"185",185,"Jamaica","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"186",186,"Jamaica","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"187",187,"Kazakhstan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"188",188,"Kazakhstan","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"189",189,"Kazakhstan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"190",190,"Kenya","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"191",191,"Kenya","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"192",192,"Kenya","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"193",193,"Kiribati","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"194",194,"Kiribati","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"195",195,"Kiribati","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"196",196,"Kuwait","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"197",197,"Kuwait","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"198",198,"Kuwait","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"199",199,"Kyrgyzstan","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"200",200,"Kyrgyzstan","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"201",201,"Kyrgyzstan","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"202",202,"Laos","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"203",203,"Laos","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"204",204,"Laos","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"205",205,"Latvia","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"206",206,"Latvia","Europe","Laws requiring parental consent for adolescents to access HIV testing",NA,"Parent"
"207",207,"Latvia","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services",NA,"Spouse"
"208",208,"Lesotho","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"209",209,"Lesotho","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"210",210,"Lesotho","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"211",211,"Liberia","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"212",212,"Liberia","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"213",213,"Liberia","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"214",214,"Madagascar","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"215",215,"Madagascar","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"216",216,"Madagascar","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"217",217,"Malawi","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"218",218,"Malawi","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"219",219,"Malawi","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"220",220,"Malaysia","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"221",221,"Malaysia","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"222",222,"Malaysia","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"223",223,"Mali","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"224",224,"Mali","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"225",225,"Mali","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"226",226,"Marshall Islands","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"227",227,"Marshall Islands","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"228",228,"Marshall Islands","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"229",229,"Mauritania","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"230",230,"Mauritania","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"231",231,"Mauritania","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","Yes","Spouse"
"232",232,"Mauritius","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"233",233,"Mauritius","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"234",234,"Mauritius","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"235",235,"Mexico","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"236",236,"Mexico","Americas","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"237",237,"Mexico","Americas","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"238",238,"Micronesia","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"239",239,"Micronesia","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"240",240,"Micronesia","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"241",241,"Monaco","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"242",242,"Monaco","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"243",243,"Monaco","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"244",244,"Mongolia","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"245",245,"Mongolia","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"246",246,"Mongolia","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"247",247,"Montenegro","Europe","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"248",248,"Montenegro","Europe","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"249",249,"Montenegro","Europe","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"250",250,"Morocco","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"251",251,"Morocco","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"252",252,"Morocco","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"253",253,"Mozambique","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","Yes","Transmission"
"254",254,"Mozambique","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"255",255,"Mozambique","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"256",256,"Myanmar","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"257",257,"Myanmar","Asia","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"258",258,"Myanmar","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"259",259,"Namibia","Africa","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"260",260,"Namibia","Africa","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"261",261,"Namibia","Africa","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"262",262,"Nauru","Oceania","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"263",263,"Nauru","Oceania","Laws requiring parental consent for adolescents to access HIV testing","No","Parent"
"264",264,"Nauru","Oceania","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"265",265,"Nepal","Asia","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
"266",266,"Nepal","Asia","Laws requiring parental consent for adolescents to access HIV testing","Yes","Parent"
"267",267,"Nepal","Asia","Laws requiring spousal consent for married women to access sexual and reproductive health services","No","Spouse"
"268",268,"Nicaragua","Americas","Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission","No","Transmission"
